,brand,nod,location,model,varient,fuel,year,transmission,km,price
0,Maruti,1st Owner,Ahmedabad,Swift Dzire,VXI 1.2,Petrol,2019,Manual,"9,718 Kms","6,65,000"
1,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2016,Manual,"81,674 Kms","3,60,000"
2,Honda,1st Owner,Ahmedabad,City,1.5 V MT,Petrol,2011,Manual,"38,647 Kms","3,99,500"
3,Maruti,1st Owner,Ahmedabad,Alto K10,LXI,Petrol,2012,Manual,"89,579 Kms","1,77,500"
4,Maruti,1st Owner,Ahmedabad,S-Presso,VXI,Petrol,2019,Manual,"24,230 Kms","4,22,000"
5,Nissan,2nd Owner,Ahmedabad,Terrano,XL Plus 85 PS,Diesel,2016,Manual,"74,431 Kms","4,80,000"
6,Maruti,1st Owner,Ahmedabad,Baleno,Alpha,Petrol,2017,Manual,"49,072 Kms","5,66,000"
7,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC BSIV,Petrol,2019,Manual,"14,161 Kms","4,57,000"
8,Maruti,2nd Owner,Ahmedabad,Wagon R,LXI BS IV,Petrol,2013,Manual,"85,416 Kms","2,79,500"
9,Maruti,1st Owner,Ahmedabad,Baleno,1.2 Delta,Petrol,2016,Manual,"51,069 Kms","4,82,500"
10,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2014,Manual,"131,125 Kms","2,94,500"
11,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC,Petrol,2020,Manual,"17,116 Kms","4,72,000"
12,Maruti,1st Owner,Ahmedabad,Wagon R,VXI Plus,Petrol,2017,Manual,"43,031 Kms","3,87,000"
13,Ford,1st Owner,Ahmedabad,Ecosport,1.5 TDCi Trend BSIV,Diesel,2016,Manual,"42,029 Kms","5,89,500"
40,Maruti,1st Owner,Ahmedabad,Swift Dzire,VXI 1.2,Petrol,2019,Manual,"9,718 Kms","6,65,000"
41,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2016,Manual,"81,674 Kms","3,60,000"
42,Honda,1st Owner,Ahmedabad,City,1.5 V MT,Petrol,2011,Manual,"38,647 Kms","3,99,500"
43,Maruti,1st Owner,Ahmedabad,Alto K10,LXI,Petrol,2012,Manual,"89,579 Kms","1,77,500"
44,Maruti,1st Owner,Ahmedabad,S-Presso,VXI,Petrol,2019,Manual,"24,230 Kms","4,22,000"
45,Nissan,2nd Owner,Ahmedabad,Terrano,XL Plus 85 PS,Diesel,2016,Manual,"74,431 Kms","4,80,000"
46,Maruti,1st Owner,Ahmedabad,Baleno,Alpha,Petrol,2017,Manual,"49,072 Kms","5,66,000"
47,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC BSIV,Petrol,2019,Manual,"14,161 Kms","4,57,000"
48,Maruti,2nd Owner,Ahmedabad,Wagon R,LXI BS IV,Petrol,2013,Manual,"85,416 Kms","2,79,500"
49,Maruti,1st Owner,Ahmedabad,Baleno,1.2 Delta,Petrol,2016,Manual,"51,069 Kms","4,82,500"
50,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2014,Manual,"131,125 Kms","2,94,500"
51,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC,Petrol,2020,Manual,"17,116 Kms","4,72,000"
52,Maruti,1st Owner,Ahmedabad,Wagon R,VXI Plus,Petrol,2017,Manual,"43,031 Kms","3,87,000"
53,Ford,1st Owner,Ahmedabad,Ecosport,1.5 TDCi Trend BSIV,Diesel,2016,Manual,"42,029 Kms","5,89,500"
80,Maruti,1st Owner,Ahmedabad,Swift Dzire,VXI 1.2,Petrol,2019,Manual,"9,718 Kms","6,65,000"
81,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2016,Manual,"81,674 Kms","3,60,000"
82,Honda,1st Owner,Ahmedabad,City,1.5 V MT,Petrol,2011,Manual,"38,647 Kms","3,99,500"
83,Maruti,1st Owner,Ahmedabad,Alto K10,LXI,Petrol,2012,Manual,"89,579 Kms","1,77,500"
84,Maruti,1st Owner,Ahmedabad,S-Presso,VXI,Petrol,2019,Manual,"24,230 Kms","4,22,000"
85,Nissan,2nd Owner,Ahmedabad,Terrano,XL Plus 85 PS,Diesel,2016,Manual,"74,431 Kms","4,80,000"
86,Maruti,1st Owner,Ahmedabad,Baleno,Alpha,Petrol,2017,Manual,"49,072 Kms","5,66,000"
87,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC BSIV,Petrol,2019,Manual,"14,161 Kms","4,57,000"
88,Maruti,2nd Owner,Ahmedabad,Wagon R,LXI BS IV,Petrol,2013,Manual,"85,416 Kms","2,79,500"
89,Maruti,1st Owner,Ahmedabad,Baleno,1.2 Delta,Petrol,2016,Manual,"51,069 Kms","4,82,500"
90,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2014,Manual,"131,125 Kms","2,94,500"
91,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC,Petrol,2020,Manual,"17,116 Kms","4,72,000"
92,Maruti,1st Owner,Ahmedabad,Wagon R,VXI Plus,Petrol,2017,Manual,"43,031 Kms","3,87,000"
93,Ford,1st Owner,Ahmedabad,Ecosport,1.5 TDCi Trend BSIV,Diesel,2016,Manual,"42,029 Kms","5,89,500"
140,Maruti,1st Owner,Ahmedabad,Swift Dzire,VXI 1.2,Petrol,2019,Manual,"9,718 Kms","6,65,000"
141,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2016,Manual,"81,674 Kms","3,60,000"
142,Honda,1st Owner,Ahmedabad,City,1.5 V MT,Petrol,2011,Manual,"38,647 Kms","3,99,500"
143,Maruti,1st Owner,Ahmedabad,Alto K10,LXI,Petrol,2012,Manual,"89,579 Kms","1,77,500"
144,Maruti,1st Owner,Ahmedabad,S-Presso,VXI,Petrol,2019,Manual,"24,230 Kms","4,22,000"
145,Nissan,2nd Owner,Ahmedabad,Terrano,XL Plus 85 PS,Diesel,2016,Manual,"74,431 Kms","4,80,000"
146,Maruti,1st Owner,Ahmedabad,Baleno,Alpha,Petrol,2017,Manual,"49,072 Kms","5,66,000"
147,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC BSIV,Petrol,2019,Manual,"14,161 Kms","4,57,000"
148,Maruti,2nd Owner,Ahmedabad,Wagon R,LXI BS IV,Petrol,2013,Manual,"85,416 Kms","2,79,500"
149,Maruti,1st Owner,Ahmedabad,Baleno,1.2 Delta,Petrol,2016,Manual,"51,069 Kms","4,82,500"
150,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2014,Manual,"131,125 Kms","2,94,500"
151,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC,Petrol,2020,Manual,"17,116 Kms","4,72,000"
152,Maruti,1st Owner,Ahmedabad,Wagon R,VXI Plus,Petrol,2017,Manual,"43,031 Kms","3,87,000"
153,Ford,1st Owner,Ahmedabad,Ecosport,1.5 TDCi Trend BSIV,Diesel,2016,Manual,"42,029 Kms","5,89,500"
220,Maruti,1st Owner,Ahmedabad,Swift Dzire,VXI 1.2,Petrol,2019,Manual,"9,718 Kms","6,65,000"
221,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2016,Manual,"81,674 Kms","3,60,000"
222,Honda,1st Owner,Ahmedabad,City,1.5 V MT,Petrol,2011,Manual,"38,647 Kms","3,99,500"
223,Maruti,1st Owner,Ahmedabad,Alto K10,LXI,Petrol,2012,Manual,"89,579 Kms","1,77,500"
224,Maruti,1st Owner,Ahmedabad,S-Presso,VXI,Petrol,2019,Manual,"24,230 Kms","4,22,000"
225,Nissan,2nd Owner,Ahmedabad,Terrano,XL Plus 85 PS,Diesel,2016,Manual,"74,431 Kms","4,80,000"
226,Maruti,1st Owner,Ahmedabad,Baleno,Alpha,Petrol,2017,Manual,"49,072 Kms","5,66,000"
227,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC BSIV,Petrol,2019,Manual,"14,161 Kms","4,57,000"
228,Maruti,2nd Owner,Ahmedabad,Wagon R,LXI BS IV,Petrol,2013,Manual,"85,416 Kms","2,79,500"
229,Maruti,1st Owner,Ahmedabad,Baleno,1.2 Delta,Petrol,2016,Manual,"51,069 Kms","4,82,500"
230,Maruti,1st Owner,Ahmedabad,Wagon R,VXI,Petrol,2014,Manual,"131,125 Kms","2,94,500"
231,Maruti,1st Owner,Ahmedabad,Eeco,5 Seater AC,Petrol,2020,Manual,"17,116 Kms","4,72,000"
232,Maruti,1st Owner,Ahmedabad,Wagon R,VXI Plus,Petrol,2017,Manual,"43,031 Kms","3,87,000"
233,Ford,1st Owner,Ahmedabad,Ecosport,1.5 TDCi Trend BSIV,Diesel,2016,Manual,"42,029 Kms","5,89,500"
320,Hyundai,2nd Owner,Bangalore,i20,1.2 Magna Executive,Petrol,2017,Manual,"18,756 Kms","6,16,500"
321,Honda,1st Owner,Bangalore,Jazz,1.5 VX i DTEC,Diesel,2015,Manual,"42,361 Kms","6,68,500"
322,Honda,1st Owner,Bangalore,Brio,1.2 VX AT,Petrol,2013,Automatic,"84,561 Kms","4,26,010"
323,Maruti,1st Owner,Bangalore,Alto 800,LXI,Petrol,2016,Manual,"53,908 Kms","3,28,000"
324,Maruti,2nd Owner,Bangalore,Swift Dzire,VXi,Petrol,2009,Manual,"86,950 Kms","3,29,000"
325,Hyundai,1st Owner,Bangalore,i20 Active,SX Diesel,Diesel,2015,Manual,"81,242 Kms","6,32,500"
326,Hyundai,2nd Owner,Bangalore,Grand i10,Sportz,Petrol,2014,Manual,"46,687 Kms","4,47,500"
327,Hyundai,1st Owner,Bangalore,i20,Asta 1.2,Petrol,2014,Manual,"40,679 Kms","5,67,500"
328,Maruti,2nd Owner,Bangalore,Alto,LXi BSIII,Petrol,2008,Manual,"44,812 Kms","1,96,000"
329,Maruti,1st Owner,Bangalore,Swift Dzire,VXi,Petrol,2009,Manual,"33,506 Kms","3,64,500"
330,Mahindra,2nd Owner,Bangalore,TUV 300,T8,Diesel,2016,Manual,"45,484 Kms","7,27,000"
331,Hyundai,2nd Owner,Bangalore,Grand i10,AT Asta,Petrol,2015,Automatic,"73,462 Kms","5,23,000"
332,Hyundai,2nd Owner,Bangalore,i10,Magna 1.2,Petrol,2009,Manual,"79,209 Kms","2,65,000"
333,Maruti,1st Owner,Bangalore,Ignis,1.2 AMT Delta BSIV,Petrol,2017,Automatic,"13,107 Kms","6,22,000"
341,Hyundai,2nd Owner,Bangalore,i20,1.2 Magna Executive,Petrol,2017,Manual,"18,756 Kms","6,16,500"
342,Honda,1st Owner,Bangalore,Jazz,1.5 VX i DTEC,Diesel,2015,Manual,"42,361 Kms","6,68,500"
