,brand,nod,location,model,varient,fuel,year,transmission,km,price
1,Maruti Suzuki,2nd,"Kumpazha, Pathanamthitta, Kerala",Eeco,5 STR WITH A/C+HTR,Petrol,2011,Manual,"55,000 km","₹ 2,30,000"
2,Maruti Suzuki,1st,"MG Road, Bengaluru, Karnataka",Swift,2011-2014 LXI,Petrol,2012,Manual,"54,000 km","₹ 4,15,000"
3,Hyundai,1st,"RTC Colony, Hyderabad, Telangana",Verna,CRDi 1.6 SX,Diesel,2011,Manual,"79,000 km","₹ 4,70,000"
6,Tata,4th,"Chinchole Nagar, Umarga, Maharashtra",Manza,Aura (ABS) Quadrajet,Diesel,2010,Automatic,"999,999 km","₹ 1,80,000"
7,Hyundai,1st,"Ashok Nagar, Jalandhar, Punjab",i20,1.2 Spotz,Petrol,2013,Manual,"65,000 km","₹ 3,99,000"
11,Maruti Suzuki,3rd,"Rajendra Nagar, Bareilly, Uttar Pradesh",Swift,2004-2010 VDI BSIV,Diesel,2010,Automatic,"92,000 km","₹ 2,55,000"
15,Datsun,1st,"Adikmet, Hyderabad, Telangana",RediGO,T Option,Petrol,2017,Manual,"15,400 km","₹ 2,99,000"
18,Nissan,2nd,"Telcon Colony, Fazilka, Punjab",Micra,2010-2012 Diesel XV Premium,Diesel,2012,Manual,"150,000 km","₹ 2,15,000"
19,Maruti Suzuki,2nd,"Ahmed Pura Colony, Ghanpur Nizamabad District, Telangana",Zen,D,Diesel,2003,Manual,"150,000 km","₹ 55,000"
20,Tata,1st,"Phulnakhra, Bhubaneshwar, Odisha",Harrier,XZ Dark Edition,Diesel,2020,Manual,"18,000 km","₹ 18,00,000"
21,Ford,1st,"Vettu Road, Thiruvananthapuram, Kerala",Mustang,V8,Petrol,2016,Automatic,"7,000 km","₹ 66,00,000"
24,Ashok Leyland,2nd,"Anandnagar Colony, Allipur, Telangana",Stile,LS,Diesel,2018,Automatic,"80,000 km","₹ 5,50,000"
26,Maruti Suzuki,2nd,"Adinad, Karunagappally, Kerala",800,AC,Petrol,2005,Manual,85 km,"₹ 90,000"
28,Maruti Suzuki,2nd,"Nehianwala, Goniana, Punjab",Swift,VDI,Diesel,2012,Manual,"80,000 km","₹ 3,65,000"
29,Mahindra,2nd,"Sardar Nagar, Sircilla, Telangana",XUV500,W8 2WD,Diesel,2012,Manual,"126,000 km","₹ 3,81,000"
30,Mahindra,2nd,"Jhungia, GIDA Gorakhpur, Uttar Pradesh",S 201,S 201,Diesel,2012,Automatic,"150,000 km","₹ 4,50,000"
34,Maruti Suzuki,1st,"Kukatpally, Hyderabad, Telangana",S-Presso,VXI,Petrol,2021,Manual,"3,400 km","₹ 4,50,000"
35,Hyundai,1st,"Janakpuri, Delhi, Delhi",i20,2015-2017 Magna 1.4 CRDi,Petrol,2015,Manual,"26,000 km","₹ 4,65,000"
36,Hyundai,1st,"Vikaspuri, Delhi, Delhi",Grand i10,2013-2016 Asta Option,Petrol,2014,Manual,"34,000 km","₹ 4,10,000"
37,Maruti Suzuki,2nd,"Keezhillam, Kinfra Small Industries Park, Kerala",Zen,LXI,Petrol,1998,Manual,"140,000 km","₹ 32,000"
39,Chevrolet,1st,"Aman Society, Surat, Gujarat",Beat,2014-2016 Diesel LT,Diesel,2014,Manual,"86,000 km","₹ 1,50,000"
42,Kia,1st,"Kankurgachhi, Kolkata, West Bengal",Seltos,HTK Plus D,Diesel,2019,Manual,"30,000 km","₹ 10,75,000"
43,Maruti Suzuki,2nd,"Vikram Nagar, Jeypur, Odisha",800,AC,Petrol,2005,Manual,"63,000 km","₹ 75,000"
44,Maruti Suzuki,1st,"Hajipur Industrial Area, Hajipur, Bihar",Alto K10,VXI,Petrol,2016,Automatic,"25,000 km","₹ 2,50,000"
45,Ambassador,3rd,"Padammalpuram, Udangudi, Tamil Nadu",Ambassador,Classic Nova Petrol,Petrol,1999,Manual,"93,000 km","₹ 43,000"
46,Maruti Suzuki,1st,"Sri Ranga Layout, Coimbatore, Tamil Nadu",Alto K10,VXI,Petrol,2013,Manual,"60,000 km","₹ 3,30,000"
47,Ashok Leyland,1st,"Prit Nagar, Mawana, Uttar Pradesh",Others,Others,Diesel,2017,Manual,"6,000 km","₹ 10,50,000"
48,Maruti Suzuki,2nd,"Amarvila, Neyyattinkara, Kerala",Celerio,2014-2017 LXI,Petrol,2016,Manual,"30,500 km","₹ 3,85,000"
49,Maruti Suzuki,1st,"Akkayyapalem, Visakhapatnam, Andhra Pradesh",Swift,VXi 1.2 ABS BS-IV,Petrol,2018,Manual,"83,500 km","₹ 5,70,000"
51,Eicher Polaris,2nd,"Budhana Nagar, Budhana, Uttar Pradesh",Others,Others,Diesel,2011,Manual,1 km,"₹ 2,30,000"
52,Maruti Suzuki,2nd,"Vikaspuri, Delhi, Delhi",Swift,VXI,Petrol,2007,Manual,"68,000 km","₹ 1,10,000"
53,Maruti Suzuki,2nd,"Malaparamba, Kozhikode, Kerala",Estilo,VXi,Petrol,2008,Manual,"50,000 km","₹ 15,000"
54,Renault,1st,"Kaallissery, Chengannur, Kerala",Triber,RXL,Petrol,2019,Manual,"14,990 km","₹ 5,75,000"
